id,price,neighbourhood_cleansed,neighbourhood_group_cleansed,review_scores_rating
700440357235433696,125.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.0
714893664098887932,144.0,la Dreta de l'Eixample,Eixample,4.71
705571441849341651,89.0,el Clot,Sant Martí,5.0
705639719060974782,113.0,la Vila de Gràcia,Gràcia,4.71
705774277376337038,45.0,el Raval,Ciutat Vella,4.44
705872390980259157,70.0,l'Antiga Esquerra de l'Eixample,Eixample,4.57
706247413399679442,52.0,el Barri Gòtic,Ciutat Vella,5.0
715025531679651876,70.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4.71
715043553541982815,174.0,el Camp de l'Arpa del Clot,Sant Martí,4.4
715291637615822076,54.0,el Poble Sec,Sants-Montjuïc,4.82
715387991672329698,36.0,les Corts,Les Corts,4.71
706300015002557272,233.0,el Fort Pienc,Eixample,4.44
706301138763170375,182.0,el Poblenou,Sant Martí,4.61
706301761969602586,170.0,la Vila de Gràcia,Gràcia,4.33
706302525153951832,184.0,la Vila de Gràcia,Gràcia,4.33
706868237111810082,120.0,Sant Antoni,Eixample,5.0
707172618281143168,64.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.75
707553181004662175,46.0,el Barri Gòtic,Ciutat Vella,4.53
715716839610281246,149.0,el Raval,Ciutat Vella,4.96
715962801332921465,180.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,5.0
715965954605132867,44.0,la Barceloneta,Ciutat Vella,4.71
716347581385476313,220.0,Sant Antoni,Eixample,4.48
716417508063535121,54.0,la Nova Esquerra de l'Eixample,Eixample,4.49
716419215483950048,137.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4.71
716562913597822571,211.0,la Sagrada Família,Eixample,4.42
707562205479238204,49.0,la Barceloneta,Ciutat Vella,4.4
707806806156100908,110.0,Sants - Badal,Sants-Montjuïc,4.71
707819735539173717,33.0,el Poble Sec,Sants-Montjuïc,5.0
707869761447524966,121.0,la Sagrada Família,Eixample,4.67
708385348934502250,79.0,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,5.0
708542126272727045,298.0,la Dreta de l'Eixample,Eixample,4.11
708561636990715691,215.0,la Dreta de l'Eixample,Eixample,4.54
708574105207333740,137.0,la Dreta de l'Eixample,Eixample,4.26
708585040013400709,152.0,la Dreta de l'Eixample,Eixample,4.39
709003388952142008,63.0,el Carmel,Horta-Guinardó,4.71
